,Unnamed: 0,recordId,priority,district,description,callNumber,incidentLocation,Latitude,Longitude,date
643930,3485053,3082137,Medium,SW,NARCOTICS INSIDE,P173472105,4100 FREDERICK AV,39.281712,-76.68343399999999,2017-12-13
50478,242100,2869674,Medium,SD,NARCOTICSOutside,P172660605,1800 BLK MCHENRY ST,39.284279999999995,-76.644964,2017-09-23
111837,591094,2558818,Medium,NW,NARCOTICSOutside,P171572464,2700 W COLD SPRING LN,39.339515999999996,-76.666646,2017-06-06
717250,3804888,2726916,Medium,NE,NARCOTICSOutside,P172141837,5800 RADECKE AV,39.330346,-76.533987,2017-08-02
319808,1736638,3265196,Medium,SE,NARCOTICSOutside,P180571514,6200 FORTVIEW WY,39.277692,-76.54160999999999,2018-02-26
333937,1778515,3283980,Medium,CD,NARCOTICSOutside,P180642407,600 LAURENS ST,39.3043,-76.63559599999999,2018-03-05
380715,1888874,3327945,Medium,WD,NARCOTICSOutside,P180822660,900-N N MONROE ST,39.299101,-76.647544,2018-03-23
652429,3565099,2651413,Medium,NE,NARCOTICSOutside,P171881058,6000 AMBERWOOD RD,39.316759999999995,-76.54289,2017-07-07
2217,41286,2544698,Medium,SE,NARCOTICSOutside,P171523500,200 N CONKLING ST,39.295355,-76.567725,2017-06-01
355582,1826757,3290610,Medium,SW,NARCOTICSOutside,P180672050,600 N EDGEWOOD ST,39.294067999999996,-76.675554,2018-03-08
692409,3732573,2594529,Medium,NW,NARCOTICSOutside,P171691031,5300 BLK CORDELIA AV,39.347132,-76.68310699999999,2017-06-18
80858,372110,3030207,Medium,SD,NARCOTICSOutside,P173260421,1900 OHIO AV,39.27985,-76.646512,2017-11-22
485446,2884248,2490441,Medium,CD,NARCOTICSOutside,P171342868,900 W NORTH AV,39.310518,-76.633011,2017-05-14
133675,700442,2612616,Medium,WD,NARCOTICSOutside,P171751220,1600 BAKER ST,39.306736,-76.644019,2017-06-24
671615,3649548,2535070,Medium,SW,NARCOTICSOutside,P171492329,2600 W FAIRMOUNT AV,39.288258,-76.658754,2017-05-29
663444,3576160,3016815,Medium,SW,NARCOTICSOutside,P173202442,2700 DULANY ST,39.279368,-76.658479,2017-11-16
